Value,Count,%,% Present,Meaning,How Resolved*
M-C2,836,99.76,99.76,Multi-Residential Contextual Medium Profile District.,known_map
S-SPR,1,0.12,0.12,"Special Purpose - School, Park and Community Reserve District.",known_map
S-UN,1,0.12,0.12,Special Purpose - Urban Nature District.,known_map
