building_key,base_unit_token,record_count,condo_count,parking_count,storage_count,other_count,unit_tokens,addresses
2000 SOMERVALE CO SW,411,1,1,0,0,0,411,411 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,412,1,1,0,0,0,412,412 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,413,1,1,0,0,0,413,413 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,414,1,1,0,0,0,414,414 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,415,1,1,0,0,0,415,415 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,416,1,1,0,0,0,416,416 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,417,1,1,0,0,0,417,417 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,418,1,1,0,0,0,418,418 2000 SOMERVALE CO SW
2000 SOMERVALE CO SW,419,1,1,0,0,0,419,419 2000 SOMERVALE CO SW
3000 SOMERVALE CO SW,100,1,0,1,0,0,100V,100V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,101,2,1,1,0,0,101; 101V,101 3000 SOMERVALE CO SW; 101V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,102,2,1,1,0,0,102; 102V,102 3000 SOMERVALE CO SW; 102V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,103,2,1,1,0,0,103; 103V,103 3000 SOMERVALE CO SW; 103V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,104,2,1,1,0,0,104; 104V,104 3000 SOMERVALE CO SW; 104V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,105,2,1,1,0,0,105; 105V,105 3000 SOMERVALE CO SW; 105V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,106,2,1,1,0,0,106; 106V,106 3000 SOMERVALE CO SW; 106V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,107,2,1,1,0,0,107; 107V,107 3000 SOMERVALE CO SW; 107V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,108,1,0,1,0,0,108V,108V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,109,2,1,1,0,0,109; 109V,109 3000 SOMERVALE CO SW; 109V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,110,2,1,1,0,0,110; 110V,110 3000 SOMERVALE CO SW; 110V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,111,2,1,1,0,0,111; 111V,111 3000 SOMERVALE CO SW; 111V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,112,2,1,1,0,0,112; 112V,112 3000 SOMERVALE CO SW; 112V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,113,2,1,1,0,0,113; 113V,113 3000 SOMERVALE CO SW; 113V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,114,2,1,1,0,0,114; 114V,114 3000 SOMERVALE CO SW; 114V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,115,2,1,1,0,0,115; 115V,115 3000 SOMERVALE CO SW; 115V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,116,2,1,1,0,0,116; 116V,116 3000 SOMERVALE CO SW; 116V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,117,2,1,1,0,0,117; 117V,117 3000 SOMERVALE CO SW; 117V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,118,2,1,1,0,0,118; 118V,118 3000 SOMERVALE CO SW; 118V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,119,2,1,1,0,0,119; 119V,119 3000 SOMERVALE CO SW; 119V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,120,1,0,1,0,0,120V,120V 3000 SOMERVALE CO SW
