source_id,comp_id,source_type,mls_number,url,publisher,captured_at,captured_by,file_path,file_sha256,claims_supported,notes
S-TEMPLATE,C-TEMPLATE,other,,https://example.com/template,template,1970-01-01T00:00:00Z,template,,,,Template source row; replace with real evidence rows
S-OC-20260225T074153Z-011,C-OC-20260225T074153Z-011,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-012,C-OC-20260225T074153Z-012,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-013,C-OC-20260225T074153Z-013,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-014,C-OC-20260225T074153Z-014,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-015,C-OC-20260225T074153Z-015,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-016,C-OC-20260225T074153Z-016,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-017,C-OC-20260225T074153Z-017,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-018,C-OC-20260225T074153Z-018,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-019,C-OC-20260225T074153Z-019,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
S-OC-20260225T074153Z-020,C-OC-20260225T074153Z-020,open_calgary_api,,https://data.calgary.ca/resource/4bsw-nn7w.json?%24q=3000+SOMERVALE+CT&%24limit=1000&%24offset=0,City of Calgary Open Data,2026-02-25T07:41:53.832363+00:00,joseph,evidence/open_calgary/4bsw-nn7w/20260225T074153Z_fetch.json,a9bffcd15d559fcea6d8b94d2d424786795e16b8e072cb10f2af9cc09da5aea9,address;community;assessed_value;property_type;sqft,"Dataset 4bsw-nn7w; assessment proxy data, not MLS sold prices."
