address,assessed_value,assessment_class,assessment_class_description,base_unit_token,building_key,comm_code,comm_name,cpid,fl_assessed_value,land_size_ac,land_size_sf,land_size_sm,land_use_designation,mod_date,multipolygon,nr_assessed_value,property_bucket,property_bucket_reason,property_type,re_assessed_value,roll_number,roll_year,sub_property_use,unique_key,unit_token,year_of_construction
8000 SOMERVALE CO SW,1570000.0,RE,Residential,,8000 SOMERVALE CO SW,SOM,SOMERSET,96070039,0.0,1.12,48762.0,4530.0,M-C2,2026-01-14T00:00:00.000Z,"{""type"":""MultiPolygon"",""coordinates"":[[[[-114.0706706,50.8970193],[-114.0705888,50.8970194],[-114.0705399,50.8970211],[-114.0704915,50.8970261],[-114.0704443,50.8970343],[-114.0703988,50.8970456],[-114.0703553,50.8970599],[-114.0703145,50.8970769],[-114.0702769,50.8970967],[-114.0702427,50.8971188],[-114.0702044,50.8971449],[-114.0701636,50.8971694],[-114.0701207,50.8971925],[-114.0700757,50.8972139],[-114.0700288,50.8972336],[-114.0699801,50.8972515],[-114.0699298,50.8972676],[-114.0698781,50.8972818],[-114.06986,50.8972877],[-114.069844,50.8972957],[-114.0698307,50.8973055],[-114.0698206,50.8973166],[-114.069814,50.8973288],[-114.0698112,50.8973416],[-114.0698123,50.8973544],[-114.0698173,50.8973669],[-114.070114,50.8978966],[-114.0701986,50.8979289],[-114.0704327,50.8979099],[-114.0706675,50.8978952],[-114.0706678,50.8978185],[-114.0706706,50.8970193]]]]}",0.0,other_property,sub_property_use=A006,LO,1570000.0,757121900,2026,A006,202675712190096070039,,
4500 SOMERVALE CO SW,446000.0,NR,Non-Residential,,4500 SOMERVALE CO SW,SOM,SOMERSET,96070034,0.0,2.48,107966.0,10030.0,S-SPR,2026-01-14T00:00:00.000Z,"{""type"":""MultiPolygon"",""coordinates"":[[[[-114.0669482,50.895251],[-114.0671056,50.89553],[-114.0671929,50.8955103],[-114.0677109,50.8953934],[-114.0680524,50.8952463],[-114.0684292,50.8951499],[-114.0685117,50.8951668],[-114.068526,50.8951431],[-114.0685441,50.8951205],[-114.0685659,50.8950993],[-114.0685911,50.8950796],[-114.0686309,50.8951023],[-114.0686609,50.8950837],[-114.068629,50.8950596],[-114.0686267,50.8950578],[-114.0686561,50.8950434],[-114.0686876,50.8950309],[-114.0685731,50.8947726],[-114.068475,50.8946019],[-114.0683482,50.8944459],[-114.0682623,50.8943674],[-114.0681361,50.894116],[-114.0679807,50.8938594],[-114.0670339,50.8939227],[-114.0670894,50.8939954],[-114.0672313,50.8940874],[-114.067355,50.8942977],[-114.0675305,50.8943678],[-114.0676242,50.8944807],[-114.0678425,50.8947766],[-114.0679752,50.8949448],[-114.0680522,50.8950461],[-114.0669482,50.895251]]]]}",446000.0,other_property,sub_property_use=A006,LO,0.0,757122304,2026,A006,202675712230496070034,,
4500R SOMERVALE CO SW,50000.0,NR,Non-Residential,,4500R SOMERVALE CO SW,SOM,SOMERSET,96070035,0.0,2.5100000000000002,109257.0,10150.0,S-UN,2026-01-14T00:00:00.000Z,"{""type"":""MultiPolygon"",""coordinates"":[[[[-114.0662289,50.8939765],[-114.0664945,50.8944467],[-114.0669482,50.895251],[-114.0680522,50.8950461],[-114.0679752,50.8949448],[-114.0678425,50.8947766],[-114.0676242,50.8944807],[-114.0675305,50.8943678],[-114.067355,50.8942977],[-114.0672313,50.8940874],[-114.0670894,50.8939954],[-114.0670339,50.8939227],[-114.0662289,50.8939765]]]]}",50000.0,other_property,sub_property_use=A006,LO,0.0,757122403,2026,A006,202675712240396070035,,
7000 SOMERVALE CO SW,21720000,RE,Residential,,7000 SOMERVALE CO SW,SOM,SOMERSET,96070038,0.0,2.37,103337.0,9600.0,M-C2,2026-01-14T00:00:00.000Z,"{""type"":""MultiPolygon"",""coordinates"":[[[[-114.0694054,50.8960924],[-114.0694101,50.8961633],[-114.0694168,50.8962342],[-114.0694255,50.8963049],[-114.0694361,50.8963755],[-114.0694487,50.8964461],[-114.0694632,50.8965164],[-114.0694797,50.8965866],[-114.0694981,50.8966566],[-114.0695183,50.8967238],[-114.0695413,50.8967906],[-114.0695672,50.896857],[-114.069596,50.896923],[-114.0696688,50.8970816],[-114.0696806,50.897107],[-114.0696892,50.8971202],[-114.0697021,50.8971319],[-114.0697187,50.8971417],[-114.0697381,50.897149],[-114.0697595,50.8971536],[-114.069782,50.8971552],[-114.0698045,50.8971538],[-114.069826,50.8971494],[-114.0698622,50.8971384],[-114.0698975,50.8971262],[-114.0699316,50.8971129],[-114.0699645,50.8970984],[-114.0699962,50.8970828],[-114.0700265,50.8970661],[-114.0700553,50.8970485],[-114.0700825,50.8970298],[-114.0701068,50.8970133],[-114.0701324,50.8969975],[-114.0701594,50.8969826],[-114.0701875,50.8969687],[-114.0702168,50.8969557],[-114.0702471,50.8969437],[-114.0702784,50.8969327],[-114.0703106,50.8969228],[-114.0703435,50.896914],[-114.0703772,50.8969063],[-114.0704114,50.8968998],[-114.0704462,50.8968944],[-114.0704814,50.8968902],[-114.0705168,50.8968871],[-114.0705525,50.8968853],[-114.0705883,50.8968846],[-114.070671,50.8968845],[-114.0706743,50.8959526],[-114.0697406,50.8959526],[-114.0697442,50.8959861],[-114.0696637,50.8959903],[-114.0695404,50.8960851],[-114.0694054,50.8960924]]]]}",0.0,other_property,sub_property_use=X057,LI,21720000,757122007,2026,X057,202675712200796070038,,2002.0
