rank,comp_id,source_id,target_building,address,unit,subject_unit,unit_match,unit_score,floor_plan_relation,relation_reason,plan_signature,metric_similarity_pct,metric_match_count,metric_total_count,metric_fields_used,metric_fields_matched,community,assessed_value,re_assessed_value,nr_assessed_value,fl_assessed_value,assessment_year,year_of_construction,property_type,assessment_class,assessment_class_description,land_use_designation,sub_property_use,land_size_sm,sqft,roll_number,value_delta,value_delta_pct,dataset_id,source_url
213,C-OCU-20260225T223244Z-213,S-OCU-20260225T223244Z-213,3000 Somervale Court SW,303 3000 SOMERVALE CO SW,303,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.59,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,272000,272000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507363,9000,0.0342,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
214,C-OCU-20260225T223244Z-214,S-OCU-20260225T223244Z-214,3000 Somervale Court SW,304 3000 SOMERVALE CO SW,304,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.59,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,272000,272000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507421,9000,0.0342,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
215,C-OCU-20260225T223244Z-215,S-OCU-20260225T223244Z-215,3000 Somervale Court SW,317 3000 SOMERVALE CO SW,317,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:17|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.59,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,272000,272000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507207,9000,0.0342,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
216,C-OCU-20260225T223244Z-216,S-OCU-20260225T223244Z-216,3000 Somervale Court SW,316 3000 SOMERVALE CO SW,316,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:16|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.59,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,272000,272000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507140,9000,0.0342,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
217,C-OCU-20260225T223244Z-217,S-OCU-20260225T223244Z-217,3000 Somervale Court SW,106 3000 SOMERVALE CO SW,106,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.54,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,273000,273000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506688,10000,0.0380,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
218,C-OCU-20260225T223244Z-218,S-OCU-20260225T223244Z-218,3000 Somervale Court SW,103 3000 SOMERVALE CO SW,103,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.54,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,273000,273000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506605,10000,0.0380,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
219,C-OCU-20260225T223244Z-219,S-OCU-20260225T223244Z-219,3000 Somervale Court SW,114 3000 SOMERVALE CO SW,114,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:14|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.54,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,273000,273000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506365,10000,0.0380,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
220,C-OCU-20260225T223244Z-220,S-OCU-20260225T223244Z-220,3000 Somervale Court SW,116 3000 SOMERVALE CO SW,116,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:16|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,99.54,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,273000,273000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506381,10000,0.0380,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
221,C-OCU-20260225T223244Z-221,S-OCU-20260225T223244Z-221,3000 Somervale Court SW,305 3000 SOMERVALE CO SW,305,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:05|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,99.50,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,274000,274000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507348,11000,0.0418,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
222,C-OCU-20260225T223244Z-222,S-OCU-20260225T223244Z-222,5500 Somervale Court SW,304 5500 SOMERVALE CO SW,304,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,99.46,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,270000,270000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200285211,7000,0.0266,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
223,C-OCU-20260225T223244Z-223,S-OCU-20260225T223244Z-223,3000 Somervale Court SW,307 3000 SOMERVALE CO SW,307,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:282500,99.18,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,281500,281500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507322,18500,0.0703,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
224,C-OCU-20260225T223244Z-224,S-OCU-20260225T223244Z-224,3000 Somervale Court SW,119 3000 SOMERVALE CO SW,119,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:19|sub_property_use:R201|land_use:M-C2|assessed_bucket:282500,99.14,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,282500,282500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506423,19500,0.0741,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
225,C-OCU-20260225T223244Z-225,S-OCU-20260225T223244Z-225,3000 Somervale Court SW,310 3000 SOMERVALE CO SW,310,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:245000,99.10,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,244000,244000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507280,-19000,-0.0722,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
226,C-OCU-20260225T223244Z-226,S-OCU-20260225T223244Z-226,3000 Somervale Court SW,302 3000 SOMERVALE CO SW,302,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,99.08,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,284000,284000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507405,21000,0.0798,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
227,C-OCU-20260225T223244Z-227,S-OCU-20260225T223244Z-227,3000 Somervale Court SW,301 3000 SOMERVALE CO SW,301,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,98.99,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,286000,286000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507389,23000,0.0875,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
228,C-OCU-20260225T223244Z-228,S-OCU-20260225T223244Z-228,3000 Somervale Court SW,319 3000 SOMERVALE CO SW,319,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:19|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,98.99,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,286000,286000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507181,23000,0.0875,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
229,C-OCU-20260225T223244Z-229,S-OCU-20260225T223244Z-229,3000 Somervale Court SW,318 3000 SOMERVALE CO SW,318,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:18|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,98.99,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,286000,286000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757507165,23000,0.0875,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
230,C-OCU-20260225T223244Z-230,S-OCU-20260225T223244Z-230,5500 Somervale Court SW,308 5500 SOMERVALE CO SW,308,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:08|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,98.86,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,284000,284000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200286565,21000,0.0798,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
231,C-OCU-20260225T223244Z-231,S-OCU-20260225T223244Z-231,3000 Somervale Court SW,110 3000 SOMERVALE CO SW,110,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:237500,98.74,14,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,236500,236500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,6010.0,,757506522,-26500,-0.1008,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
232,C-OCU-20260225T223244Z-232,S-OCU-20260225T223244Z-232,5500 Somervale Court SW,303 5500 SOMERVALE CO SW,303,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:287500,98.68,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,288500,288500,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200286953,25500,0.0970,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
233,C-OCU-20260225T223244Z-233,S-OCU-20260225T223244Z-233,5500 Somervale Court SW,101 5500 SOMERVALE CO SW,101,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,98.62,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,290000,290000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200283760,27000,0.1027,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
234,C-OCU-20260225T223244Z-234,S-OCU-20260225T223244Z-234,5500 Somervale Court SW,102 5500 SOMERVALE CO SW,102,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,98.62,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,290000,290000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200283794,27000,0.1027,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
235,C-OCU-20260225T223244Z-235,S-OCU-20260225T223244Z-235,5500 Somervale Court SW,110 5500 SOMERVALE CO SW,110,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,98.62,16,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,290000,290000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200285153,27000,0.1027,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
236,C-OCU-20260225T223244Z-236,S-OCU-20260225T223244Z-236,5500 Somervale Court SW,106 5500 SOMERVALE CO SW,106,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:295000,98.45,14,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,294500,294500,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200286573,31500,0.1198,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
237,C-OCU-20260225T223244Z-237,S-OCU-20260225T223244Z-237,5500 Somervale Court SW,310 5500 SOMERVALE CO SW,310,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,98.25,14,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,300000,300000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200283604,37000,0.1407,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
238,C-OCU-20260225T223244Z-238,S-OCU-20260225T223244Z-238,5500 Somervale Court SW,302 5500 SOMERVALE CO SW,302,209,adjacent_floor,20,similar_floor_plan,high cross-metric similarity,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,98.25,14,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,300000,300000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200284834,37000,0.1407,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
