rank,comp_id,source_id,target_building,address,unit,subject_unit,unit_match,unit_score,floor_plan_relation,relation_reason,plan_signature,metric_similarity_pct,metric_match_count,metric_total_count,metric_fields_used,metric_fields_matched,community,assessed_value,re_assessed_value,nr_assessed_value,fl_assessed_value,assessment_year,year_of_construction,property_type,assessment_class,assessment_class_description,land_use_designation,sub_property_use,land_size_sm,sqft,roll_number,value_delta,value_delta_pct,dataset_id,source_url
11,C-OCU-20260225T223244Z-011,S-OCU-20260225T223244Z-011,5500 Somervale Court SW,309 5500 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,98.25,14,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,SOMERSET,300000,300000,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,6090.0,,200284966,37000,0.1407,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255500%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
12,C-OCU-20260225T223244Z-012,S-OCU-20260225T223244Z-012,1000 Somervale Court SW,309 1000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,95.96,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,267500,267500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757515226,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
13,C-OCU-20260225T223244Z-013,S-OCU-20260225T223244Z-013,1000 Somervale Court SW,109 1000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,95.95,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,258500,258500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7560.0,,757514468,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%251000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
14,C-OCU-20260225T223244Z-014,S-OCU-20260225T223244Z-014,2000 Somervale Court SW,309 2000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,95.56,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,267500,267500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7770.0,,757504303,4500,0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%252000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
15,C-OCU-20260225T223244Z-015,S-OCU-20260225T223244Z-015,2000 Somervale Court SW,109 2000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,95.55,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,258500,258500,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,7770.0,,757503545,-4500,-0.0171,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%252000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
16,C-OCU-20260225T223244Z-016,S-OCU-20260225T223244Z-016,6000 Somervale Court SW,109 6000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,93.72,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,261000,261000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,8980.0,,757509948,-2000,-0.0076,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%256000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
17,C-OCU-20260225T223244Z-017,S-OCU-20260225T223244Z-017,6000 Somervale Court SW,309 6000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,93.49,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,270000,270000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,8980.0,,757510680,7000,0.0266,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%256000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
18,C-OCU-20260225T223244Z-018,S-OCU-20260225T223244Z-018,4000 Somervale Court SW,109 4000 SOMERVALE CO SW,109,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,91.36,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,261000,261000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,11050.0,,757505185,-2000,-0.0076,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%254000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
19,C-OCU-20260225T223244Z-019,S-OCU-20260225T223244Z-019,4000 Somervale Court SW,309 4000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,91.14,13,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,270000,270000,0,0,2026,2001.0,LI,RE,Residential,M-C2,R201,11050.0,,757505920,7000,0.0266,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%254000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
20,C-OCU-20260225T223244Z-020,S-OCU-20260225T223244Z-020,5000 Somervale Court SW,309 5000 SOMERVALE CO SW,309,209,same_stack+adjacent_floor,120,same_floor_plan,same stack with strong metric similarity,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:177500,84.70,11,16,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;assessed_value;re_assessed_value;nr_assessed_value;fl_assessed_value;land_size_sm;land_size_sf;land_size_ac;year_of_construction;roll_year,property_type;assessment_class;assessment_class_description;land_use_designation;sub_property_use;comm_code;comm_name;nr_assessed_value;fl_assessed_value;year_of_construction;roll_year,SOMERSET,178500,178500,0,0,2026,2003.0,LI,RE,Residential,M-C2,R201,15100.0,,200385516,-84500,-0.3213,4bsw-nn7w,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%255000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=1000&%24offset=0
