Value,Count,%,% Present,Meaning,How Resolved*
4530.0,1,0.19,0.19,Land parcel size value: 4530.0 square metres.,derived
6010.0,163,30.52,30.52,Land parcel size value: 6010.0 square metres.,derived
7560.0,75,14.04,14.04,Land parcel size value: 7560.0 square metres.,derived
7770.0,75,14.04,14.04,Land parcel size value: 7770.0 square metres.,derived
8980.0,142,26.59,26.59,Land parcel size value: 8980.0 square metres.,derived
9600.0,1,0.19,0.19,Land parcel size value: 9600.0 square metres.,derived
10030.0,1,0.19,0.19,Land parcel size value: 10030.0 square metres.,derived
10150.0,1,0.19,0.19,Land parcel size value: 10150.0 square metres.,derived
11050.0,75,14.04,14.04,Land parcel size value: 11050.0 square metres.,derived
