Value,Count,%,% Present,Meaning,How Resolved*
48762.0,1,0.19,0.19,Land parcel size value: 48762.0 square feet.,derived
64691.0,163,30.52,30.52,Land parcel size value: 64691.0 square feet.,derived
81375.0,75,14.04,14.04,Land parcel size value: 81375.0 square feet.,derived
83636.0,75,14.04,14.04,Land parcel size value: 83636.0 square feet.,derived
96660.0,142,26.59,26.59,Land parcel size value: 96660.0 square feet.,derived
103337.0,1,0.19,0.19,Land parcel size value: 103337.0 square feet.,derived
107966.0,1,0.19,0.19,Land parcel size value: 107966.0 square feet.,derived
109257.0,1,0.19,0.19,Land parcel size value: 109257.0 square feet.,derived
118941.0,75,14.04,14.04,Land parcel size value: 118941.0 square feet.,derived
