URL,Fields
https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO%25%27&%24limit=1000&%24offset=0,"address, assessed_value, assessment_class, assessment_class_description, comm_code, comm_name, cpid, fl_assessed_value, land_size_ac, land_size_sf, land_size_sm, land_use_designation, mod_date, multipolygon, nr_assessed_value, property_type, re_assessed_value, roll_number, roll_year, sub_property_use, unique_key, year_of_construction"
https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+COURT%25%27&%24limit=1000&%24offset=0,"address, assessed_value, assessment_class, assessment_class_description, comm_code, comm_name, cpid, fl_assessed_value, land_size_ac, land_size_sf, land_size_sm, land_use_designation, mod_date, multipolygon, nr_assessed_value, property_type, re_assessed_value, roll_number, roll_year, sub_property_use, unique_key, year_of_construction"
https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CT%25%27&%24limit=1000&%24offset=0,"address, assessed_value, assessment_class, assessment_class_description, comm_code, comm_name, cpid, fl_assessed_value, land_size_ac, land_size_sf, land_size_sm, land_use_designation, mod_date, multipolygon, nr_assessed_value, property_type, re_assessed_value, roll_number, roll_year, sub_property_use, unique_key, year_of_construction"
