stage,index,query_url
subject_lookup,1,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=200&%24offset=0
street_fetch,1,https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO+SW%25%27&%24limit=1000&%24offset=0
