request,stage,where_clause,query_url
209 % 3000 % SOMERVALE,subject_lookup,upper(address) like '%209%' and upper(address) like '%3000%' and upper(address) like '%SOMERVALE%',https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25209%25%27+and+upper%28address%29+like+%27%253000%25%27+and+upper%28address%29+like+%27%25SOMERVALE%25%27&%24limit=200&%24offset=0
SOMERVALE CO SW,street_fetch,upper(address) like '%SOMERVALE CO SW%',https://data.calgary.ca/resource/4bsw-nn7w.json?%24where=upper%28address%29+like+%27%25SOMERVALE+CO+SW%25%27&%24limit=1000&%24offset=0
