Value,Count,%,% Present,Meaning,How Resolved*
1.12,1,0.19,0.19,Land parcel size value: 1.12 acres.,derived
1.49,163,30.52,30.52,Land parcel size value: 1.49 acres.,derived
1.87,75,14.04,14.04,Land parcel size value: 1.87 acres.,derived
1.92,75,14.04,14.04,Land parcel size value: 1.92 acres.,derived
2.22,142,26.59,26.59,Land parcel size value: 2.22 acres.,derived
2.37,1,0.19,0.19,Land parcel size value: 2.37 acres.,derived
2.48,1,0.19,0.19,Land parcel size value: 2.48 acres.,derived
2.5100000000000002,1,0.19,0.19,Land parcel size value: 2.5100000000000002 acres.,derived
2.73,75,14.04,14.04,Land parcel size value: 2.73 acres.,derived
