Value,Count,%,% Present,Meaning,How Resolved*
M-C2,532,99.63,99.63,Multi-Residential Contextual Medium Profile District.,known_map
S-SPR,1,0.19,0.19,"Special Purpose - School, Park and Community Reserve District.",known_map
S-UN,1,0.19,0.19,Special Purpose - Urban Nature District.,known_map
